label;29.12.2018;30.12.2018;31.12.2018;01.01.2019;02.01.2019;03.01.2019;04.01.2019;05.01.2019;06.01.2019;07.01.2019;08.01.2019;09.01.2019;10.01.2019;11.01.2019;12.01.2019;13.01.2019;14.01.2019;15.01.2019;16.01.2019;17.01.2019;18.01.2019;19.01.2019;20.01.2019;21.01.2019;22.01.2019;23.01.2019;24.01.2019;25.01.2019;26.01.2019;27.01.2019;28.01.2019;29.01.2019;КОЛ-ВО;СУММА
отделение ролевой модель распоряжение кредитный;;;;4;6;2;2;;;;;74;;;;;;;;;;;;;;;;;;;;;5;88
отделение увольнение закрыть закрытие доступ;;;;;;;;;;;;;;;;;;;5;6;;;;2;13;14;14;3;13;;1;13;10;84
отделение физический лицо обслуживание закрытие;;;;;;;;;;;;;;;2;;6;4;10;;11;2;;3;6;11;8;;;;;;10;63
отделение филиальный сеть западный головные;;;;;;;;;;;;;14;3;2;1;;;;;;;;;;;5;;2;;;;6;27
отделение цпо кредитный персонального ролевой;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;1;10
отказ вернуть кредит статус кредитный;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0
отказ кредит подать карта статус;;;;;;;;;;;;;141;29;;;;;;;;;;;;;;;;;36;;3;206
отказ кредит решение статус ошибка;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;;;1;62
отказ кредитный ошибка кредит статус;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;1;13
отказ перевести кредит оповещение статус;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;1;18
